"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-09 06:34",Chin-Up,3,2,0,"5 reps",,5,
"2014-06-09 06:34",Chin-Up,3,3,0,"5 reps",,5,
"2014-06-09 06:34",Chin-Up,3,4,0,"5 reps",,5,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Reps,Weight,RPE
"2014-06-14 16:20","Bodyweight Bulgarian Split Squat",1,1,0,"5 reps",5,,
"2014-06-14 16:20","Bulgarian Split Squat",2,1,0,"45 lbs x 5 reps @ 5.5",5,"45 lbs",6
"2014-06-14 16:20","Bulgarian Split Squat",2,2,0,"65 lbs x 5 reps @ 6.5",5,"65 lbs",7
"2014-06-14 16:20","Bulgarian Split Squat",2,3,0,"85 lbs x 5 reps @ 7.5",5,"85 lbs",8
"2014-06-14 16:20","Bulgarian Split Squat",2,4,0,"95 lbs x 5 reps @ 8.5",5,"95 lbs",9
"2014-06-14 16:20","Bulgarian Split Squat",2,5,1,"105 lbs x 5 reps @ 9",5,"105 lbs",9
"2014-06-14 16:20","Bulgarian Split Squat",2,6,0,"100 lbs x 5 reps @ 8",5,"100 lbs",8
"2014-06-14 16:20","Bulgarian Split Squat",2,7,0,"100 lbs x 5 reps @ 9",5,"100 lbs",9
"2014-06-14 16:20","Bench Press",3,1,0,"45 lbs x 5 reps",5,"45 lbs",
"2014-06-14 16:20","Bench Press",3,2,0,"95 lbs x 5 reps",5,"95 lbs",
"2014-06-14 16:20","Bench Press",3,3,0,"135 lbs x 5 reps @ 7.5",5,"135 lbs",8
"2014-06-14 16:20","Bench Press",3,4,0,"155 lbs x 5 reps @ 8.5",5,"155 lbs",9
"2014-06-14 16:20","Bench Press",3,5,0,"165 lbs x 5 reps @ 9",5,"165 lbs",9
"2014-06-14 16:20","Bench Press",3,6,0,"155 lbs x 5 reps @ 8.5",5,"155 lbs",9
"2014-06-14 16:20","Bench Press",3,7,0,"155 lbs x 5 reps @ 9",5,"155 lbs",9
"2014-06-14 16:20","Dumbbell Row",4,1,0,"85 lbs x 5 reps",5,"85 lbs",
"2014-06-14 16:20","Dumbbell Row",4,2,0,"85 lbs x 5 reps",5,"85 lbs",
"2014-06-14 16:20","Dumbbell Row",4,3,0,"85 lbs x 5 reps",5,"85 lbs",
"2014-06-14 16:20","Dumbbell Row",4,4,1,"85 lbs x 5 reps",5,"85 lbs",
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,Duration
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,1,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,2,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,3,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,4,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,5,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,6,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,7,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,8,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,9,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29","Two-Arm Kettlebell Swing",1,10,0,"44 lbs x 10 reps","44 lbs",10,
"2014-06-15 16:29",Plank,2,1,0,1:00,,,"60 sec"
"2014-06-15 16:29",Plank,2,2,0,1:00,,,"60 sec"
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-17 08:00",Deadlift,1,1,0,"135 lbs x 3 reps","135 lbs",3,
"2014-06-17 08:00",Deadlift,1,2,0,"185 lbs x 3 reps","185 lbs",3,
"2014-06-17 08:00",Deadlift,1,3,0,"225 lbs x 3 reps @ 7","225 lbs",3,7
"2014-06-17 08:00",Deadlift,1,4,0,"255 lbs x 3 reps @ 7.5","255 lbs",3,8
"2014-06-17 08:00",Deadlift,1,5,0,"285 lbs x 3 reps @ 8","285 lbs",3,8
"2014-06-17 08:00",Deadlift,1,6,0,"300 lbs x 3 reps @ 9.5","300 lbs",3,10
"2014-06-17 08:00",Deadlift,1,7,0,"285 lbs x 3 reps @ 9","285 lbs",3,9
"2014-06-17 08:00","Overhead Press",2,1,0,"65 lbs x 5 reps","65 lbs",5,
"2014-06-17 08:00","Overhead Press",2,2,0,"85 lbs x 5 reps","85 lbs",5,
"2014-06-17 08:00","Overhead Press",2,3,0,"105 lbs x 5 reps @ 7.5","105 lbs",5,8
"2014-06-17 08:00","Overhead Press",2,4,0,"115 lbs x 5 reps @ 9","115 lbs",5,9
"2014-06-17 08:00","Overhead Press",2,5,0,"110 lbs x 5 reps @ 8.5","110 lbs",5,9
"2014-06-17 08:00","Overhead Press",2,6,0,"110 lbs x 5 reps @ 8.5","110 lbs",5,9
"2014-06-17 08:00","Overhead Press",2,7,0,"110 lbs x 5 reps @ 9.5","110 lbs",5,10
"2014-06-17 08:00",Chin-Up,3,1,0,"5 reps",,5,
"2014-06-17 08:00",Chin-Up,3,2,0,"5 reps",,5,
"2014-06-17 08:00",Chin-Up,3,3,0,"5 reps",,5,
"2014-06-17 08:00",Chin-Up,3,4,0,"5 reps",,5,
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps
"2014-06-19 08:00","Kettlebell Snatch",1,1,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,2,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,3,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,4,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,5,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,6,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,7,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,8,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,9,0,"35 lbs x 7 reps","35 lbs",7
"2014-06-19 08:00","Kettlebell Snatch",1,10,0,"35 lbs x 7 reps","35 lbs",7
"Performed At",Exercise,Exercise#,Set#,IsPR,String,Weight,Reps,RPE
"2014-06-21 08:00","Bulgarian Split Squat",1,1,0,"45 lbs x 3 reps","45 lbs",3,
"2014-06-21 08:00","Bulgarian Split Squat",1,2,0,"75 lbs x 3 reps","75 lbs",3,
"2014-06-21 08:00","Bulgarian Split Squat",1,3,0,"95 lbs x 3 reps @ 7.5","95 lbs",3,8
